2021-06-27 22:06:972 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 22:06:923 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (25dfe7c6c9ecfac58b40ef205dc20f56)] -> link text: Log in]
2021-06-27 22:06:986 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (25dfe7c6c9ecfac58b40ef205dc20f56)] -> xpath: //div[@class='page-title']//h1]
2021-06-27 22:06:907 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 22:06:435 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9f306ca2db577cd726c798939867b8bc)] -> link text: Log in]
2021-06-27 22:06:673 INFO  LoginPage :38 - Entering email address : jyot@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (9f306ca2db577cd726c798939867b8bc)] -> id: Email]
2021-06-27 22:06:936 INFO  LoginPage :44 - Entering password : abc123 to password field : [[ChromeDriver: chrome on WINDOWS (9f306ca2db577cd726c798939867b8bc)] -> id: Password]
2021-06-27 22:06:314 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (9f306ca2db577cd726c798939867b8bc)] -> xpath: //button[@class='button-1 login-button']]
2021-06-27 22:06:366 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9f306ca2db577cd726c798939867b8bc)] -> xpath: //div[@class='topic-block-title']//h2]
2021-06-27 22:06:17 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 22:06:472 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7613e69c109086abc3078428ac0399ca)] -> link text: Log in]
2021-06-27 22:06:36 INFO  LoginPage :38 - Entering email address : abcd123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (7613e69c109086abc3078428ac0399ca)] -> id: Email]
2021-06-27 22:06:337 INFO  LoginPage :44 - Entering password : xyz123 to password field : [[ChromeDriver: chrome on WINDOWS (7613e69c109086abc3078428ac0399ca)] -> id: Password]
2021-06-27 22:06:698 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (7613e69c109086abc3078428ac0399ca)] -> xpath: //button[@class='button-1 login-button']]
2021-06-27 22:06:919 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 22:06:598 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9113977e25783c51479da9e46dbd12af)] -> link text: Log in]
2021-06-27 22:06:53 INFO  LoginPage :38 - Entering email address : xyz123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (9113977e25783c51479da9e46dbd12af)] -> id: Email]
2021-06-27 22:06:538 INFO  LoginPage :44 - Entering password : abc123 to password field : [[ChromeDriver: chrome on WINDOWS (9113977e25783c51479da9e46dbd12af)] -> id: Password]
2021-06-27 22:06:390 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (9113977e25783c51479da9e46dbd12af)] -> xpath: //button[@class='button-1 login-button']]
2021-06-27 22:06:156 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 22:06:502 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5cf4bd2d1fe413d39806c08fff73a33a)] -> link text: Log in]
2021-06-27 22:06:992 INFO  LoginPage :38 - Entering email address : adcs124@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (5cf4bd2d1fe413d39806c08fff73a33a)] -> id: Email]
2021-06-27 22:06:320 INFO  LoginPage :44 - Entering password : adc123 to password field : [[ChromeDriver: chrome on WINDOWS (5cf4bd2d1fe413d39806c08fff73a33a)] -> id: Password]
2021-06-27 22:06:657 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (5cf4bd2d1fe413d39806c08fff73a33a)] -> xpath: //button[@class='button-1 login-button']]
2021-06-27 23:06:834 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 23:06:942 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (cdd25c0c3187f4da2fb3090712735f94)] -> link text: Log in]
2021-06-27 23:06:494 INFO  LoginPage :38 - Entering email address : abcd123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (cdd25c0c3187f4da2fb3090712735f94)] -> id: Email]
2021-06-27 23:06:742 INFO  LoginPage :44 - Entering password : xyz123 to password field : [[ChromeDriver: chrome on WINDOWS (cdd25c0c3187f4da2fb3090712735f94)] -> id: Password]
2021-06-27 23:06:96 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (cdd25c0c3187f4da2fb3090712735f94)] -> xpath: //button[@class='button-1 login-button']]
2021-06-27 23:06:78 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 23:06:333 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8fbd123557b44a63d292f42da27d3c82)] -> link text: Log in]
2021-06-27 23:06:629 INFO  LoginPage :38 - Entering email address : xyz123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (8fbd123557b44a63d292f42da27d3c82)] -> id: Email]
2021-06-27 23:06:892 INFO  LoginPage :44 - Entering password : abc123 to password field : [[ChromeDriver: chrome on WINDOWS (8fbd123557b44a63d292f42da27d3c82)] -> id: Password]
2021-06-27 23:06:101 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (8fbd123557b44a63d292f42da27d3c82)] -> xpath: //button[@class='button-1 login-button']]
2021-06-27 23:06:510 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-27 23:06:913 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0ccb97bb981301367600fe63b3f69e87)] -> link text: Log in]
2021-06-27 23:06:407 INFO  LoginPage :38 - Entering email address : adcs124@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (0ccb97bb981301367600fe63b3f69e87)] -> id: Email]
2021-06-27 23:06:697 INFO  LoginPage :44 - Entering password : adc123 to password field : [[ChromeDriver: chrome on WINDOWS (0ccb97bb981301367600fe63b3f69e87)] -> id: Password]
2021-06-27 23:06:991 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (0ccb97bb981301367600fe63b3f69e87)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:518 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:32 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e6772cbfe5ccf91bd72980465afd28d7)] -> link text: Log in]
2021-06-28 22:06:931 INFO  LoginPage :38 - Entering email address : abcd123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (e6772cbfe5ccf91bd72980465afd28d7)] -> id: Email]
2021-06-28 22:06:147 INFO  LoginPage :44 - Entering password : xyz123 to password field : [[ChromeDriver: chrome on WINDOWS (e6772cbfe5ccf91bd72980465afd28d7)] -> id: Password]
2021-06-28 22:06:489 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (e6772cbfe5ccf91bd72980465afd28d7)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:731 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:977 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9d36d1508fc38bdd7c4c61f4169d805b)] -> link text: Log in]
2021-06-28 22:06:356 INFO  LoginPage :38 - Entering email address : xyz123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (9d36d1508fc38bdd7c4c61f4169d805b)] -> id: Email]
2021-06-28 22:06:608 INFO  LoginPage :44 - Entering password : abc123 to password field : [[ChromeDriver: chrome on WINDOWS (9d36d1508fc38bdd7c4c61f4169d805b)] -> id: Password]
2021-06-28 22:06:831 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (9d36d1508fc38bdd7c4c61f4169d805b)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:344 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:568 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (447b71e916ce176c8ca4f38f64fa7cb1)] -> link text: Log in]
2021-06-28 22:06:945 INFO  LoginPage :38 - Entering email address : adcs124@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (447b71e916ce176c8ca4f38f64fa7cb1)] -> id: Email]
2021-06-28 22:06:208 INFO  LoginPage :44 - Entering password : adc123 to password field : [[ChromeDriver: chrome on WINDOWS (447b71e916ce176c8ca4f38f64fa7cb1)] -> id: Password]
2021-06-28 22:06:483 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (447b71e916ce176c8ca4f38f64fa7cb1)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:998 INFO  BasePage :31 - Launching Chrome Browser 
